"TaxonKey","Country_Territory","Neighbor_Territory","Model_Index","Area_Index"
600005,"USA (East Coast)","Bahamas",100,0.0245901639344262
600005,"USA (East Coast)","USA (Gulf of Mexico)",100,0.533333333333333
600006,"USA (East Coast)","Bahamas",100,0.378181818181818
600006,"USA (East Coast)","Cuba",100,0.0552486187845304
600006,"USA (East Coast)","USA (Gulf of Mexico)",100,0.424242424242424
600006,"USA (East Coast)","Canada (East Coast)",100,0.0706521739130435
600015,"USA (East Coast)","Bahamas",100,0.0714285714285714
600015,"USA (East Coast)","USA (Gulf of Mexico)",100,0.657894736842105
600017,"USA (East Coast)","Bahamas",100,0.582914572864322
600017,"USA (East Coast)","Cuba",100,0.511764705882353
600017,"USA (East Coast)","USA (Gulf of Mexico)",100,0.693726937269373
600018,"USA (East Coast)","Bahamas",100,0.60625
600018,"USA (East Coast)","Cuba",100,0.571428571428571
600018,"USA (East Coast)","USA (Gulf of Mexico)",100,0.598726114649682
600024,"USA (East Coast)","Canada (East Coast)",100,0.839737582005623
600026,"USA (East Coast)","Canada (East Coast)",100,0.903732809430255
600051,"USA (East Coast)","Canada (East Coast)",100,0.874172185430464
600062,"USA (East Coast)","Canada (East Coast)",100,0.826771653543307
600069,"USA (East Coast)","Canada (East Coast)",100,0.832285115303983
600071,"USA (East Coast)","USA (Gulf of Mexico)",100,0.435114503816794
600071,"USA (East Coast)","Canada (East Coast)",100,0.0133333333333333
600076,"USA (East Coast)","USA (Gulf of Mexico)",100,0.956521739130435
600078,"USA (East Coast)","Bahamas",100,0.989795918367347
600078,"USA (East Coast)","Cuba",100,0.857142857142857
600089,"USA (East Coast)","Bahamas",100,0.798387096774194
600089,"USA (East Coast)","Cuba",100,0.166666666666667
600089,"USA (East Coast)","USA (Gulf of Mexico)",100,0.702380952380952
600094,"USA (East Coast)","Bahamas",100,0.0207100591715976
600094,"USA (East Coast)","USA (Gulf of Mexico)",100,0.275711159737418
600094,"USA (East Coast)","Canada (East Coast)",100,0.0488505747126437
600097,"USA (East Coast)","USA (Gulf of Mexico)",100,0.318518518518519
600097,"USA (East Coast)","Canada (East Coast)",100,0.010752688172043
600107,"USA (East Coast)","Bahamas",100,0.245454545454545
600107,"USA (East Coast)","Cuba",100,0.0177514792899408
600107,"USA (East Coast)","USA (Gulf of Mexico)",100,0.275109170305677
600115,"USA (East Coast)","Bahamas",100,0.0264705882352941
600115,"USA (East Coast)","Cuba",100,0.00600600600600601
600115,"USA (East Coast)","USA (Gulf of Mexico)",100,0.406810035842294
600115,"USA (East Coast)","Canada (East Coast)",100,0.303157894736842
600118,"USA (East Coast)","Canada (East Coast)",100,0.728287841191067
600120,"USA (East Coast)","Bahamas",100,0.320224719101124
600120,"USA (East Coast)","Cuba",100,0.00819672131147541
600120,"USA (East Coast)","USA (Gulf of Mexico)",100,0.444954128440367
600126,"USA (East Coast)","Bahamas",100,0.0468227424749164
600126,"USA (East Coast)","Cuba",100,0.0206185567010309
600126,"USA (East Coast)","USA (Gulf of Mexico)",100,0.445525291828794
600134,"USA (East Coast)","USA (Gulf of Mexico)",100,0.0594059405940594
600139,"USA (East Coast)","Canada (East Coast)",100,0.793103448275862
600143,"USA (East Coast)","Bahamas",100,0.443037974683544
600143,"USA (East Coast)","Cuba",100,0.0434782608695652
600143,"USA (East Coast)","USA (Gulf of Mexico)",100,0.368421052631579
600143,"USA (East Coast)","Canada (East Coast)",100,0.484375
600144,"USA (East Coast)","Bahamas",100,0.550387596899225
600144,"USA (East Coast)","Cuba",100,0.09375
600144,"USA (East Coast)","USA (Gulf of Mexico)",100,0.524590163934426
600146,"USA (East Coast)","Canada (East Coast)",100,0.0789473684210526
