sub_region,Size_Region
Australia and New Zealand,9895155.487440001
Eastern Asia,6362919.846469
Eastern Europe,7777969.6607433
Latin America and the Caribbean,15696844.396121679
Melanesia,6102658.367818
Micronesia,8938660.071479
Northern Africa,1516287.2768601
Northern America,13952057.40435
Northern Europe,3268125.30719774
Other,15047851.6222218
Polynesia,8683455.273606
South-eastern Asia,9703802.494468736
Southern Asia,3547379.5977978
Southern Europe,1434437.2646660712
Sub-Saharan Africa,10800312.51437771
Western Asia,1745325.2218059574
Western Europe,431645.59951003996
