sub_region,Size_Entity_sum
Australia and New Zealand,12282183.395725
Eastern Asia,7329898.791853
Eastern Europe,7777969.6607433
Latin America and the Caribbean,20723420.48801509
Melanesia,7525194.644458
Micronesia,8313053.851128
Northern Africa,1423774.4901358
Northern America,22081777.68132
Northern Europe,6401144.45842274
Other,4357444.28252012
Polynesia,9577373.222753
South-eastern Asia,11098246.4603329
Southern Asia,4206952.6834978005
Southern Europe,2484759.698382071
Sub-Saharan Africa,12349817.339499509
Western Asia,1744784.3272359115
Western Europe,2018481.3425563402
