"TaxonKey","Country_Territory","Neighbor_Territory","Model_Index","Area_Index","CT_fishing_entity","NT_fishing_entity","n()","Same_Nation"
600004,"Chile","Peru",100,0.440366972477064,"Chile","Peru",2,"No"
600004,"Ecuador","Peru",100,0.96969696969697,"Ecuador","Peru",2,"No"
600004,"Peru","Chile",100,0.559633027522936,"Peru","Chile",1,"No"
600004,"Peru","Ecuador",100,0.0303030303030303,"Peru","Ecuador",1,"No"
600005,"Bahamas","USA (East Coast)",100,0.975409836065574,"Bahamas","USA",3,"No"
600005,"Mexico (Atlantic)","USA (Gulf of Mexico)",100,0.985507246376812,"Mexico","USA",3,"No"
600005,"USA (East Coast)","Bahamas",100,0.0245901639344262,"USA","Bahamas",2,"No"
600005,"USA (East Coast)","USA (Gulf of Mexico)",100,0.533333333333333,"USA","USA",3,"Yes"
600005,"USA (Gulf of Mexico)","USA (East Coast)",100,0.466666666666667,"USA","USA",3,"Yes"
600005,"USA (Gulf of Mexico)","Mexico (Atlantic)",100,0.0144927536231884,"USA","Mexico",2,"No"
600006,"Albania","Greece",100,0.851851851851852,"Albania","Greece",1,"No"
600006,"Albania","Italy",100,0.978494623655914,"Albania","Italy",1,"No"
600006,"Albania","Montenegro",100,0.428571428571429,"Albania","Montenegro",2,"No"
600006,"Algeria","Tunisia",100,0.87012987012987,"Algeria","Tunisia",2,"No"
600006,"Algeria","Sardinia (Italy)",100,0.880952380952381,"Algeria","Sardinia (Italy)",NA,"No"
600006,"Algeria","Balearic Island (Spain)",100,0.722222222222222,"Algeria","Balearic Island (Spain)",NA,"No"
600006,"Algeria","Morocco (Mediterranean)",100,0.0909090909090909,"Algeria","Morocco",3,"No"
600006,"Algeria","Spain (Mediterranean and Gulf of Cadiz)",100,0.848484848484849,"Algeria","Spain (Mediterranean and Gulf of Cadiz)",NA,"No"
600006,"American Samoa","Cook Islands",100,0.708474576271186,"American Samoa","Cook Islands",2,"No"
600006,"American Samoa","Niue (New Zealand)",100,0.424749163879599,"American Samoa","Niue (New Zealand)",2,"No"
600006,"American Samoa","Tokelau (New Zealand)",100,0.432343234323432,"American Samoa","Tokelau (New Zealand)",2,"No"
600006,"American Samoa","Tonga",100,0.59338061465721,"American Samoa","Tonga",2,"No"
600006,"American Samoa","Samoa",100,0.261802575107296,"American Samoa","Samoa",2,"No"
600006,"Andaman & Nicobar Isl. (India)","Myanmar",100,0.601398601398601,"Andaman & Nicobar Isl. (India)","Myanmar",2,"No"
