TaxonKey,TaxonName,DemPel
600004,Engraulis ringens,Pelagic
600005,Orthopristis chrysoptera,Demersal
600006,Coryphaena hippurus,Pelagic
600015,Epinephelus guttatus,Demersal
600017,Epinephelus morio,Demersal
600018,Epinephelus striatus,Demersal
600020,Argentina sphyraena,Pelagic
600024,Clupea harengus,Pelagic
600026,Glyptocephalus cynoglossus,Demersal
600027,Lepidorhombus boscii,Demersal
600028,Lepidorhombus whiffiagonis,Demersal
600029,Merlangius merlangus,Demersal
600030,Merluccius merluccius,Demersal
600031,Micromesistius poutassou,Demersal
600032,Microchirus variegatus,Demersal
600033,Molva molva,Demersal
600034,Pollachius pollachius,Demersal
600045,Atherina presbyter,Pelagic
600047,Belone belone,Pelagic
600051,Brosme brosme,Demersal
600054,Capros aper,Demersal
600056,Cepola macrophthalma,Demersal
600058,Coris julis,Demersal
600059,Symphodus melops,Demersal
600061,Ctenolabrus rupestris,Demersal
600062,Cyclopterus lumpus,Demersal
600063,Dicentrarchus labrax,Demersal
600066,Engraulis encrasicolus,Pelagic
600068,Chelidonichthys gurnardus,Demersal
600069,Gadus morhua,Demersal
600071,Caranx hippos,Pelagic
600072,Gobius niger,Demersal
600076,Helicolenus dactylopterus,Demersal
600077,Istiophorus platypterus,Pelagic
600078,Istiophorus albicans,Pelagic
600080,Chanos chanos,Demersal
600083,Aphareus rutilans,Demersal
600088,Lamna nasus,Demersal
600089,Acanthocybium solandri,Pelagic
600090,Cetorhinus maximus,Demersal
600093,Auxis rochei,Pelagic
600094,Auxis thazard,Pelagic
600096,Euthynnus affinis,Pelagic
600097,Euthynnus alletteratus,Pelagic
600098,Euthynnus lineatus,Pelagic
600101,Alosa alosa,Pelagic
600105,Alosa pontica,Pelagic
600106,Gymnosarda unicolor,Demersal
600107,Katsuwonus pelamis,Pelagic
600108,Orcynopsis unicolor,Pelagic
600109,Rastrelliger brachysoma,Pelagic
600111,Rastrelliger kanagurta,Pelagic
600113,Sarda chiliensis,Pelagic
600114,Sarda orientalis,Pelagic
600115,Sarda sarda,Pelagic
600116,Scomber australasicus,Pelagic
600117,Scomber japonicus,Pelagic
600118,Scomber scombrus,Pelagic
600119,Scomberomorus brasiliensis,Pelagic
600120,Scomberomorus cavalla,Demersal
600121,Scomberomorus commerson,Pelagic
600123,Scomberomorus guttatus,Pelagic
600125,Scomberomorus lineolatus,Pelagic
600126,Scomberomorus maculatus,Pelagic
600131,Scomberomorus niphonius,Pelagic
600134,Scomberomorus regalis,Demersal
600136,Scomberomorus sierra,Pelagic
600138,Somniosus microcephalus,Demersal
600139,Squalus acanthias,Demersal
600140,Rhinobatos percellens,Demersal
600141,Scomberomorus tritor,Pelagic
600142,Thunnus alalunga,Pelagic
600143,Thunnus albacares,Pelagic
600144,Thunnus atlanticus,Pelagic
600145,Thunnus maccoyii,Pelagic
600146,Thunnus obesus,Pelagic
600147,Thunnus thynnus,Pelagic
600148,Thunnus tonggol,Pelagic
600149,Rhinobatos planiceps,Demersal
600156,Lutjanus kasmira,Demersal
600162,Lutjanus malabaricus,Demersal
600167,Callorhinchus capensis,Demersal
600171,Lutjanus purpureus,Demersal
600172,Lutjanus quinquelineatus,Demersal
600175,Elops saurus,Pelagic
600181,Lutjanus synagris,Demersal
600188,Ocyurus chrysurus,Demersal
600203,Boops boops,Demersal
600204,Sarpa salpa,Demersal
600213,Rhomboplites aurorubens,Demersal
600216,Makaira nigricans,Pelagic
600217,Makaira indica,Pelagic
600219,Tetrapturus albidus,Pelagic
600220,Tetrapturus pfluegeri,Pelagic
600223,Tetrapturus audax,Pelagic
600226,Xiphias gladius,Pelagic
600227,Megalops cyprinoides,Pelagic
600228,Albula vulpes,Demersal
600229,Pterothrissus belloci,Demersal
600230,Alepocephalus bairdii,Demersal
600231,Coregonus albula,Pelagic
600232,Coregonus lavaretus,Demersal
600233,Coregonus oxyrinchus,Demersal
600236,Salmo salar,Demersal
600238,Salmo trutta,Pelagic
600239,Oncorhynchus mykiss,Demersal
600240,Oncorhynchus gorbuscha,Demersal
600241,Oncorhynchus keta,Demersal
600242,Oncorhynchus masou,Demersal
600243,Oncorhynchus nerka,Pelagic
600244,Oncorhynchus tshawytscha,Demersal
600245,Oncorhynchus kisutch,Demersal
600247,Salvelinus alpinus,Demersal
600249,Centrolophus niger,Pelagic
600250,Schedophilus ovalis,Demersal
600252,Mallotus villosus,Pelagic
600253,Osmerus mordax,Pelagic
600255,Hypomesus pretiosus,Pelagic
600256,Thaleichthys pacificus,Pelagic
600257,Glossanodon semifasciatus,Demersal
600259,Lampanyctodes hectoris,Pelagic
600260,Harpadon nehereus,Demersal
600264,Lutjanus johnii,Demersal
600265,Lutjanus gibbus,Demersal
600288,Galeichthys feliceps,Demersal
600296,Anguilla rostrata,Pelagic
600298,Muraenesox cinereus,Demersal
600299,Conger orbignyanus,Demersal
600300,Conger oceanicus,Demersal
600301,Conger conger,Demersal
600302,Conger myriaster,Demersal
600303,Cololabis saira,Pelagic
600305,Hyporhamphus sajori,Pelagic
600306,Salilota australis,Demersal
600308,Gadus macrocephalus,Demersal
600309,Gadus ogac,Demersal
600311,Urophycis brasiliensis,Demersal
600312,Urophycis chuss,Demersal
600313,Urophycis tenuis,Demersal
600314,Eleginus navaga,Demersal
600315,Eleginus gracilis,Demersal
600316,Microgadus tomcod,Demersal
600318,Theragra chalcogramma,Demersal
600319,Boreogadus saida,Demersal
600320,Micromesistius australis,Demersal
600321,Merluccius senegalensis,Demersal
600322,Merluccius australis,Demersal
600323,Merluccius bilinearis,Demersal
600324,Merluccius gayi gayi,Demersal
600325,Merluccius hubbsi,Demersal
600326,Merluccius productus,Demersal
600327,Merluccius polli,Demersal
600329,Macruronus magellanicus,Demersal
600331,Macrourus berglax,Demersal
600332,Coryphaenoides rupestris,Pelagic
600333,Macroramphosus scolopax,Demersal
600334,Hoplostethus atlanticus,Pelagic
600336,Zenopsis conchifer,Demersal
600338,Joturus pichardi,Pelagic
600339,Menidia menidia,Pelagic
600340,Eleutheronema tetradactylum,Demersal
600341,Galeoides decadactylus,Demersal
600342,Pentanemus quinquarius,Demersal
600345,Centropomus undecimalis,Demersal
600346,Lates calcarifer,Demersal
600348,Epinephelus analogus,Demersal
600349,Polyprion americanus,Demersal
600350,Polyprion oxygeneios,Demersal
600351,Acanthistius brasilianus,Demersal
600352,Paralabrax humeralis,Demersal
600353,Morone saxatilis,Demersal
600355,Morone americana,Demersal
600356,Priacanthus macracanthus,Demersal
600357,Synagrops japonicus,Demersal
600361,Centropristis striata,Demersal
600362,Lopholatilus chamaeleonticeps,Demersal
600363,Lactarius lactarius,Pelagic
600364,Pomatomus saltator,Pelagic
600366,Trachurus japonicus,Demersal
600367,Trachurus murphyi,Pelagic
600368,Trachurus symmetricus,Pelagic
600369,Trachurus lathami,Demersal
600371,Trachurus trecae,Demersal
600372,Trachurus declivis,Demersal
600374,Decapterus russelli,Pelagic
600378,Selene setapinnis,Demersal
600379,Selene dorsalis,Demersal
600380,Trachinotus carolinus,Demersal
600382,Seriola lalandi,Demersal
600384,Megalaspis cordyla,Pelagic
600385,Chloroscombrus chrysurus,Pelagic
600386,Parona signata,Demersal
600387,Selar crumenophthalmus,Pelagic
600388,Selaroides leptolepis,Pelagic
600390,Mene maculata,Demersal
600391,Brama brama,Pelagic
600392,Arripis georgianus,Pelagic
600394,Dicentrarchus punctatus,Pelagic
600395,Emmelichthys nitidus,Demersal
600396,Nemipterus virgatus,Demersal
600397,Isacia conceptionis,Demersal
600398,Plectorhinchus mediterraneus,Demersal
600399,Pomadasys argenteus,Demersal
600400,Brachydeuterus auritus,Demersal
600401,Conodon nobilis,Demersal
600403,Cynoscion analis,Demersal
600405,Cynoscion nebulosus,Demersal
600406,Cynoscion regalis,Demersal
600407,Cynoscion striatus,Demersal
600408,Micropogonias undulatus,Demersal
600410,Menticirrhus saxatilis,Demersal
600411,Menticirrhus littoralis,Demersal
600412,Elagatis bipinnulata,Pelagic
